date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:23:32	356/356	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:23:34%20GMT	http://primary/gallery	C:/Users/ubaid/Desktop/new_web/NewOne/primary/gallery.html	(from )
06:23:32	36796/36796	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:23:33%20GMT	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html	(from )
06:23:33	1002/1002	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20May%202020%2001:23:35%20GMT	https://demo.w3layouts.com/robots.txt		(from )
06:23:34	178152/178152	---M-Z	200	added ('OK')	text/css	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/bootstrap.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:34	30875/30875	---M-Z	200	added ('OK')	text/css	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:35	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221559302858%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:37	2309/2309	---MCZ	200	added ('OK')	text/javascript	etag:W/%225dfd99ed8b9daad96c9ffed917c2e3f7%22	https://codefund.io/properties/441/funder.js	C:/Users/ubaid/Desktop/new_web/NewOne/codefund.io/properties/441/funder.js	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:38	57357/57357	---MCZ	200	added ('OK')	application/javascript	etag:W/%222810cf92cd9eee12826688f59e132e86%22	http://m.servedby-buysellads.com/monetization.js	C:/Users/ubaid/Desktop/new_web/NewOne/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:38	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:39	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:43	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/ubaid/Desktop/new_web/NewOne/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:43	50427/50427	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about11.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about11.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:43	34863/34863	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:43	54399/54399	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:44	37923/37923	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about3.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/about3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:44	17255/17255	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/t1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/t1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:44	15631/15631	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/t2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/t2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:44	21649/21649	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/t3.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/t3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:45	126735/126735	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:45	120229/120229	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:45	153613/153613	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga3.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:46	12085/12085	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/test2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/test2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:46	94/94	---M-Z	200	added ('OK')	text/plain	etag:%2288-57ce09a96ded8-gzip%22	http://primary/robots.txt		(from )
